Gloss,Korlai,Daman,Diu,Sri Lanka PT,Kannur,Malacca,Macau,Tugu/Batavia,Santiago CV,SantoAntão CV,SãoVicente CV,Fogo CV,Brava CV,Santome,Fá d'Ambô,Principense,Angolar,Guinea Bissau,Casamancese,Papiamentu,Palenquero,CaviteChabacano,TernateChabacano,ZamboangaChabacano,Karipuna,Guianese,Louisiana,Haitian,Guadeloupean,Martinican,SaintLucian,Mauritian,Réunionese,Seychellois
where,"38,48%","38,06%","38,76%","48,20%","64,13%","63,04%","58,51%","66,23%","93,20%","52,64%","52,97%","93,64%",,"76,13%",,,,"56,42%",,"50,04%","59,44%","94,92%","94,50%","94,73%","100,00%","100,00%","58,08%","99,90%","99,59%","99,76%","99,75%","67,09%","100,00%","99,27%"
white,"61,31%","50,40%","65,34%","54,80%","64,62%","70,15%","70,24%","71,80%","100,00%","47,84%","60,68%","96,05%","96,01%","93,91%","49,68%","67,10%","70,24%","100,00%","68,69%","92,97%","91,74%","100,00%","100,00%","100,00%","87,43%","87,74%","87,34%","91,81%","46,27%","87,32%","87,21%","87,16%","87,37%","87,43%"
who,"96,31%","96,27%","100,00%","34,69%","95,51%","52,36%","48,96%","50,88%","33,38%","100,00%","100,00%","33,27%","32,76%","100,00%","62,62%","94,96%","35,02%","90,29%","89,74%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","86,36%","90,57%","100,00%","37,97%","100,00%"
wide,"41,97%","41,83%","42,00%","96,82%","39,62%","94,53%","94,30%","97,53%","97,81%","31,01%","30,89%","98,00%","97,77%","68,16%",,"78,35%",,"98,26%","95,32%","99,96%",,"100,00%","100,00%","100,00%","87,73%",,"93,12%","86,63%","87,61%","86,57%","86,14%","57,38%",,"54,64%"
wife,"93,01%","97,44%","94,67%","59,02%","98,19%","73,27%","93,05%","92,67%","87,91%","38,51%","61,96%","68,66%","89,83%","45,14%","48,15%","21,30%",,"63,03%","62,09%","99,97%","70,80%","91,72%","91,76%","33,62%","90,68%","82,57%","100,00%","94,00%","93,48%","93,65%","94,12%","100,00%","100,00%","91,28%"
wind,"62,23%","54,96%","64,75%","51,75%","60,18%","70,63%","73,75%","70,48%","25,09%","63,31%","69,77%","95,17%","95,14%","96,18%","72,93%","97,48%","72,04%","94,38%",,"100,00%",,"100,00%","100,00%","100,00%","88,23%","88,10%","88,17%","88,23%","87,89%","87,88%","88,04%","63,98%",,"87,13%"
wing,"56,53%","59,06%","58,86%","57,95%","96,33%","93,71%","85,59%",,"94,40%","90,93%","100,00%","92,74%","93,23%","98,20%","92,92%","98,53%","95,11%","100,00%","81,30%","99,89%","100,00%","100,00%","100,00%",,"51,30%","50,35%","100,00%","51,41%","52,87%","52,25%","49,60%","97,97%",,"95,64%"
wipe,"75,16%","74,84%","78,09%","55,79%","60,35%","68,80%","84,31%",,"74,99%","72,34%","78,29%","74,11%","73,72%","45,42%",,"43,87%",,"68,61%","70,08%","66,51%","81,88%","81,84%","82,03%",,"84,15%","64,07%","71,50%","71,29%","74,66%","74,91%","75,33%","59,97%",,
with,"88,97%","85,63%","86,11%","48,25%",,"83,61%","91,64%","64,99%","84,28%","61,80%","62,16%","84,19%","85,11%","84,13%","83,90%","100,00%","84,42%","83,72%",,"85,24%",,"100,00%","100,00%","100,00%","12,53%","12,31%","100,00%","38,59%","81,93%","81,77%","92,18%","36,55%","37,26%","96,66%"
woman,"93,01%","97,44%","94,67%","59,02%","98,19%","73,27%","72,07%","74,94%","87,91%","48,63%","61,96%","68,66%","89,83%","45,14%","48,15%","21,30%",,"63,03%","62,09%","65,68%","70,80%","91,72%","91,76%","82,49%","90,68%","90,65%","100,00%","90,80%","91,28%","91,50%","91,93%","100,00%","100,00%","100,00%"
worm,"69,49%","69,59%","69,51%","66,44%",,,"98,86%","50,09%","100,00%","99,20%","100,00%","100,00%","100,00%","96,05%","94,94%","95,98%","93,61%",,,"89,47%",,,,"100,00%","63,01%","62,93%","82,77%","63,27%","62,96%","62,64%","59,21%","84,85%",,"63,94%"
year,"53,35%","53,01%","53,14%","64,62%","75,38%","93,76%","94,65%","93,27%","91,72%","46,27%","47,43%","92,85%","93,29%","90,69%","92,83%","91,44%","91,80%","93,40%","93,48%","77,00%","100,00%","82,86%","90,77%","100,00%","90,65%","76,50%","54,92%","99,79%","92,79%","93,23%","33,95%","99,02%",,"84,31%"
yellow,"62,86%","62,92%","61,30%","75,62%","60,44%","76,57%","75,81%","78,99%","92,18%","59,55%","81,62%","78,20%","78,37%","71,72%","74,68%","77,00%","71,65%","92,24%",,,"74,26%","97,40%","83,20%","98,93%","92,00%","94,82%","100,00%","91,09%","88,33%","88,83%","95,43%","96,76%","44,04%","44,09%"
you(plural),,"63,52%",,"45,48%",,"53,16%","63,07%","60,37%","31,32%","43,87%","16,83%","31,57%","35,17%",,,"26,05%",,"93,10%","93,64%","48,73%",,"45,87%",,,"32,21%","45,11%","83,84%","33,40%","41,08%","41,23%","37,48%","38,13%","34,50%","38,43%"
you(singular),"63,96%",,"63,05%","89,71%","82,53%","92,57%","95,99%","92,27%","45,95%","38,86%","43,42%","50,69%","46,04%","49,31%","48,55%","87,24%","49,18%","52,45%","52,97%","51,62%",,"100,00%","94,04%","57,78%","37,86%","38,48%","78,25%","38,08%","40,30%","40,48%","64,00%","100,00%","83,81%","75,58%"
