Gloss,Korlai,Daman,Diu,Sri Lanka PT,Kannur,Malacca,Macau,Tugu/Batavia,Santiago CV,SantoAntão CV,SãoVicente CV,Fogo CV,Brava CV,Santome,Fá d'Ambô,Principense,Angolar,Guinea Bissau,Casamancese,Papiamentu,Palenquero,CaviteChabacano,TernateChabacano,ZamboangaChabacano,Karipuna,Guianese,Louisiana,Haitian,Guadeloupean,Martinican,SaintLucian,Mauritian,Réunionese,Seychellois
lie,"56,15%","81,13%","81,14%","60,45%","58,13%","63,49%","74,73%",,"59,94%","63,06%","63,41%","59,81%","63,17%","61,36%",,,,"57,32%","60,15%",,,,"64,77%",,"100,00%","100,00%","100,00%","99,85%","75,43%","75,72%","99,76%","96,07%","97,28%","97,50%"
live,,"72,39%","71,47%","69,90%",,"73,07%","96,48%","68,57%","70,14%","77,98%","78,42%","73,46%","73,41%","74,82%","29,32%","72,24%","29,53%","71,74%",,"68,26%","75,96%","76,08%","75,77%","75,84%","72,77%","72,71%","72,10%","73,08%","72,73%","72,55%","73,17%","70,02%",,"86,66%"
liver,"39,42%","40,55%","40,27%","65,87%","36,65%","64,90%",,"72,89%","59,42%","39,93%","39,34%","59,98%","99,86%","95,80%","85,20%","95,72%","95,93%","100,00%",,"53,56%","84,76%","92,46%",,"92,27%","86,09%","86,45%","87,12%","86,42%","87,50%","87,09%","87,50%","87,45%","86,23%","56,40%"
long,"75,49%","72,00%","77,37%","67,22%","75,42%","78,25%","79,53%","79,91%","100,00%","76,35%","79,95%","100,00%","100,00%","95,25%","71,07%","94,83%","94,69%","78,19%","78,55%","98,12%","77,65%","99,47%","99,48%","90,27%","96,24%","53,52%","97,72%","98,19%","52,28%","96,04%","53,65%","51,88%","56,86%","95,60%"
louse,"45,96%","68,83%","41,19%","37,50%","63,76%","95,15%",,"76,45%","89,84%","65,44%","64,86%","89,90%","89,84%",,,,,"98,53%",,"36,04%",,"79,90%","97,94%",,"100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","93,94%","100,00%","93,67%"
man(adultmale),"55,13%","56,58%","56,47%","61,56%","88,56%","87,30%","93,54%","86,46%","88,73%","52,13%","55,14%","88,81%","88,22%","89,82%","90,74%","90,26%","90,45%","87,21%","63,90%","67,45%","72,51%","94,48%","80,48%","94,61%","84,22%","50,99%","99,48%","71,23%","67,73%","68,04%","67,46%","50,37%","46,61%","50,32%"
man(humanbeing),,,,"73,47%",,"88,43%",,"74,85%","95,72%","22,61%","22,23%","78,99%","96,08%","91,28%","24,93%","94,96%","90,50%","93,99%",,"86,55%","88,07%","92,40%","92,42%","90,91%","41,54%",,"37,71%",,"39,40%","39,93%","39,92%","84,17%","37,00%","80,32%"
many,"46,25%","28,70%","40,42%","94,82%",,"59,91%","75,48%","71,79%","60,42%","19,92%","64,55%","61,26%","61,56%","78,28%","91,56%","93,66%","89,73%","57,75%","53,22%","60,74%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","93,05%","93,85%","93,59%","96,56%","93,87%","100,00%","100,00%"
meat,"35,43%","41,95%","51,18%","78,16%","98,59%","72,34%","96,34%","97,62%","97,82%","45,88%","52,22%","98,00%","97,76%","78,24%","71,28%","75,36%","78,22%","94,21%","85,27%","98,18%","82,71%","95,78%","95,34%","87,36%","78,16%","83,26%","83,01%","83,00%","83,05%","83,31%","83,77%","70,85%","49,75%","72,33%"
moon,,"90,57%","90,46%","32,88%","33,73%","28,92%","96,02%","20,98%","69,81%",,,,,"51,70%","48,39%","14,04%",,"30,26%","30,24%","99,96%","100,00%","100,00%","100,00%","100,00%","95,27%","97,68%","97,18%",,"98,64%","98,91%","97,47%","98,62%","98,41%","98,45%"
mother,"80,67%","80,35%","86,16%","86,01%","86,21%","86,60%","88,20%","86,47%","88,43%","49,58%","94,61%","48,04%","83,06%","87,70%","46,85%","10,00%","88,14%","88,31%","88,83%","99,92%","87,15%","94,91%","67,92%",,"87,23%","87,25%","79,18%","87,26%","87,54%","87,71%","87,97%","87,72%","87,21%","87,33%"
mountain,"43,61%","68,59%",,"74,90%","76,88%","76,19%",,"73,44%","94,97%","36,79%","69,83%","95,31%","100,00%",,,,,"96,67%",,"96,92%","100,00%","100,00%","100,00%","100,00%","84,45%","92,95%","92,97%","51,57%","91,93%","91,88%","87,05%","84,51%","72,57%","72,96%"
mouth,"69,70%","69,23%","69,12%","72,06%","93,52%","95,27%","91,27%","94,85%","96,43%","90,19%","88,69%","90,49%","91,71%","96,81%","91,31%","72,75%","98,06%","100,00%","94,32%","99,96%","99,34%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","77,68%","100,00%","100,00%","98,10%","48,35%","98,09%"
name,"64,42%","63,91%","63,77%","75,87%","99,51%","98,21%","94,00%","97,67%","100,00%","67,62%","69,70%","99,56%","100,00%","100,00%","77,15%","100,00%","100,00%","94,89%","93,48%","62,83%",,"99,46%","88,84%","100,00%","96,39%","96,46%","96,46%","96,44%","100,00%","100,00%","100,00%","96,41%","99,45%","100,00%"
narrow,"51,99%","63,52%",,"84,63%",,,"98,86%","95,42%","83,91%","60,99%","61,18%","65,18%","65,21%","66,96%",,,,,,,"82,61%","96,44%","96,14%",,"74,96%","62,08%","97,83%","47,00%","59,09%","57,68%","58,45%","86,18%",,"66,27%"
near,"43,73%","42,75%","44,40%","78,67%","92,55%","93,42%","97,63%","96,63%","97,85%","41,22%","42,71%","95,80%","97,77%","78,01%","77,59%","78,20%","78,11%","98,28%","93,95%","98,17%","76,52%","99,47%","99,48%","90,25%","85,96%",,"100,00%","77,18%","89,18%","89,55%","81,94%","84,62%","62,76%","81,63%"
neck,"75,97%","76,42%",,"74,71%","79,79%","74,44%",,"96,88%","76,84%","75,94%","75,46%","77,94%","77,99%",,,,,"95,36%",,,"83,05%","100,00%","73,13%","100,00%","86,91%","55,99%","100,00%","100,00%","100,00%","100,00%","100,00%","91,89%","100,00%","91,75%"
new,"64,75%","64,81%","64,85%","58,28%","83,64%","90,56%","98,70%","95,73%","92,62%","69,59%","69,48%","92,11%","95,15%","95,85%","96,36%","95,22%","96,13%","94,83%","96,12%","91,69%","96,95%","96,83%","96,77%","96,58%","59,86%","59,62%","100,00%","100,00%","100,00%","54,45%","88,32%","99,95%","54,07%","94,11%"
night,"60,37%","59,99%","44,09%","79,51%","98,72%","78,82%","79,49%","82,00%","78,04%","53,42%","30,25%","78,10%","78,06%","71,36%","71,93%","69,37%","76,71%","97,94%","75,26%","100,00%","100,00%","100,00%","100,00%","100,00%","56,11%","98,79%","58,64%","59,34%","47,64%","69,93%","71,43%","97,59%","54,21%","74,74%"
nose,"94,28%","94,36%","93,18%","74,99%","94,99%","91,07%","90,50%","93,61%","97,84%","87,67%","91,97%","97,99%","93,79%","37,35%","36,40%","49,44%","35,69%","94,39%","91,32%","58,94%","76,77%","99,48%","99,48%","98,52%","86,60%","86,18%","100,00%","99,69%","84,02%","84,10%","99,51%","39,49%","99,86%","29,22%"
not,"38,40%","56,60%","52,75%","50,75%","53,88%","54,67%","74,02%","51,05%","37,62%","19,10%","38,04%","37,82%","36,80%","51,59%",,,,"84,25%","84,35%","100,00%","87,39%","100,00%","100,00%","100,00%","96,39%","96,46%","100,00%","100,00%","100,00%","100,00%","99,32%","100,00%","100,00%","100,00%"
old,"59,47%","64,33%","61,80%","52,67%","73,92%","89,72%","89,42%","89,22%","83,49%","63,60%","44,79%","85,06%","85,15%","36,13%","36,52%","40,60%","38,98%","79,21%","86,21%","42,70%","90,35%","90,31%","90,35%","90,29%","94,71%","92,86%","92,90%","95,77%","67,49%","95,77%","67,28%","67,29%","95,67%","95,78%"
one,"100,00%","100,00%","100,00%","5,35%","4,61%","10,82%","5,01%","26,19%","100,00%","100,00%","100,00%","100,00%","100,00%","91,82%","73,85%","91,54%","91,54%","100,00%","46,44%","100,00%","55,58%","100,00%","76,89%","55,56%","4,91%","4,38%","25,32%","0,00%","4,10%","4,99%","1,75%","80,74%","91,59%","91,26%"
other,"96,43%","41,50%","41,86%","69,54%","89,15%","55,46%","52,92%","38,99%","60,04%","27,65%","25,95%","60,04%","58,80%","60,23%","40,34%","62,34%","54,78%","71,86%","32,83%","92,96%","75,13%","100,00%","100,00%","100,00%","32,13%","37,77%","72,48%","34,13%","72,73%","72,84%","69,14%","76,87%","76,17%","78,49%"
play,"60,47%","72,16%","78,25%","69,87%","65,74%","70,56%","70,10%","72,11%","71,99%","55,78%","78,23%","74,91%","78,06%","65,07%","62,64%","72,63%","71,71%",,"70,85%","50,74%","66,58%","70,69%","70,58%","70,80%","100,00%","100,00%","100,00%","99,68%","98,72%","99,26%","99,49%","96,00%","97,38%","96,01%"
pull,"76,38%","76,85%",,"72,20%","50,05%","76,52%",,"72,60%","78,03%","23,78%","23,59%","74,02%","74,13%","38,41%","57,02%","43,35%","55,83%",,,"72,93%","66,18%","41,35%","77,55%","72,96%","100,00%","89,69%","100,00%","86,54%","86,50%","86,77%","89,63%","88,00%","80,25%","80,13%"
push,,"66,83%","71,82%","32,22%",,"42,82%",,,"32,74%","73,44%","77,12%","78,06%","73,67%","75,38%","67,18%","75,07%","73,38%","74,31%","67,68%",,"76,30%","76,74%",,"70,89%","100,00%","100,00%","100,00%","99,85%","85,91%","86,09%","99,76%","99,25%","60,69%","99,24%"
rain,"39,27%","39,36%","62,02%","68,38%","91,90%","23,47%","94,79%","28,39%","96,11%","97,35%","98,13%","95,13%","95,10%","90,58%","90,09%","72,31%","87,93%","94,79%","82,19%","84,62%","63,78%","99,67%","99,67%",,"94,48%","94,53%","94,16%","90,40%","94,11%","94,47%","94,17%","94,53%","94,47%","95,29%"
red,"72,92%","78,27%","74,78%","41,09%","48,50%","65,07%","75,67%",,"83,15%","78,96%","46,63%","64,23%","64,12%","44,00%","78,47%","50,12%","49,69%","88,77%","85,36%","58,45%","61,17%","72,25%","68,89%","71,56%","72,52%",,"82,86%","82,21%","84,13%","84,38%","86,16%","81,86%","96,75%","80,18%"
right,"47,70%","42,79%","42,86%","48,06%",,"46,21%","44,84%","44,64%","83,36%","25,37%","24,91%","37,58%","37,25%","39,47%","60,36%","51,30%","50,72%","98,74%",,"47,32%","98,46%","99,55%","99,56%","96,28%","85,81%","93,70%","55,80%","96,22%","96,06%","89,76%","96,11%","87,73%","96,08%","88,24%"
river,"30,10%","47,97%","58,42%","54,19%",,"100,00%",,"62,63%","95,89%","99,06%","100,00%","95,87%","94,84%","26,11%","61,68%","46,42%","39,56%","95,27%",,"95,90%","92,40%","100,00%","60,89%","100,00%","69,98%","76,03%","66,59%","76,62%","76,31%","76,30%","76,80%","85,99%","91,02%","78,82%"
road,"59,99%","76,89%","75,35%","65,80%","91,40%","95,95%","88,56%","100,00%","76,65%","100,00%","100,00%","77,39%","96,65%","56,30%","75,91%","52,89%",,"100,00%","96,62%","66,16%","96,51%","100,00%","100,00%","100,00%","90,35%","89,60%","24,50%","91,15%","90,98%","91,12%","90,86%","87,72%","100,00%","91,77%"
root,"71,39%","61,15%","83,85%","51,85%",,"97,34%",,"93,26%","95,97%","95,91%","95,93%","93,29%","93,33%","43,52%","44,21%","50,92%",,"93,11%",,"95,89%",,"97,41%","97,38%","97,39%","78,72%","91,74%","84,20%","89,35%","89,00%","89,03%","67,55%","90,98%","59,64%","89,99%"
rope,"43,37%","43,90%","44,42%","75,32%","96,81%","66,40%","94,48%","92,62%","97,83%","97,54%","94,13%","97,96%","97,71%","72,00%","67,96%","32,15%","72,16%","98,26%","90,09%","96,09%",,,,,"84,24%","91,46%","90,66%","84,36%","83,92%","83,12%","85,06%","93,98%","99,43%","73,72%"
rotten,"59,95%","59,81%","60,10%","75,79%","68,90%","98,48%",,"95,28%","100,00%","72,56%","72,51%","100,00%","100,00%","84,42%",,"86,12%",,"64,08%",,"60,20%",,"90,32%",,,"79,26%","89,60%","87,36%","86,74%","86,15%","86,31%","89,67%","88,76%",,"87,62%"
round,,"65,24%","66,67%",,"72,61%","89,01%",,"73,77%","91,20%",,,"70,91%",,"82,30%","73,25%","84,68%",,"97,19%","73,85%","62,22%",,"96,36%","96,04%","93,19%","53,79%","87,75%","70,68%",,"76,33%","75,96%","78,64%","73,38%",,"74,40%"
rub,"50,21%","79,25%",,"72,61%","34,79%","78,63%","77,82%","75,84%","34,70%","62,44%","62,46%","49,13%","49,07%","45,42%","41,16%","43,87%","42,39%","27,78%","40,52%","48,43%",,,,,"84,15%","64,07%","90,73%","63,03%","91,00%","91,68%","79,86%","59,96%",,"61,61%"
salt,"100,00%","100,00%","100,00%","69,76%","100,00%","99,47%",,"100,00%","94,35%","98,73%","99,32%","100,00%","100,00%","65,44%","66,70%","51,53%","62,92%","100,00%","100,00%","67,44%","61,01%","100,00%","100,00%","100,00%","94,89%","100,00%","97,13%","98,88%","99,98%","99,44%","94,02%","97,17%","70,43%","91,82%"
sand,,"49,65%","69,03%","66,45%",,"45,67%",,"43,03%","19,42%","41,34%","41,81%","92,44%","92,12%","55,92%","38,12%","38,55%",,"73,87%","64,14%",,,"99,47%","79,34%","98,50%","67,41%",,"83,72%","84,20%","85,44%","83,88%","83,11%","88,84%","83,31%","84,87%"
say,"56,21%","75,00%","77,78%","71,40%",,"75,23%","75,09%","75,14%","19,41%","24,15%","23,65%","16,70%","15,95%","23,20%","50,63%","31,21%","30,20%","73,71%","74,86%","61,22%","72,73%","72,74%","41,69%","72,81%","55,76%","63,18%","62,10%","63,08%","54,27%","54,17%","63,01%","84,76%","68,54%","60,59%"
scratch,"46,17%","52,88%","56,10%","68,48%","53,92%","59,24%","78,25%",,"74,62%","74,15%","74,66%","74,21%","77,94%","77,38%","77,40%","77,88%","74,51%","52,26%","78,15%","27,93%",,"82,16%","82,00%","82,10%","92,72%","95,45%","97,31%","94,07%","83,85%","83,90%","87,13%","93,62%",,"93,54%"
sea,"97,45%","97,82%","96,93%","47,55%","65,48%","91,48%","98,47%","96,78%","96,35%","98,17%","100,00%","96,66%","96,28%","57,87%","59,80%","45,55%",,"97,13%","97,20%","82,09%",,"96,99%","99,48%","77,81%","72,99%","73,18%","89,83%","73,13%","73,20%","73,41%","73,28%","89,58%","100,00%","74,72%"
see,,,,"65,39%",,"68,10%","67,04%","68,05%","54,43%","63,69%","56,22%","57,37%","50,80%","58,23%","56,52%","61,51%","58,24%","56,70%","57,68%","76,62%","61,75%","77,66%","77,61%","76,81%","51,59%","51,84%","51,97%","52,75%","52,66%","51,80%","51,24%","92,63%","48,15%","27,88%"
seed,"70,51%","68,78%","74,94%",,"69,81%","71,75%",,"73,70%","96,76%","28,65%","33,16%","96,27%","96,27%","88,26%","88,45%","88,29%",,"74,75%","23,48%","52,40%","50,67%","96,53%","96,16%","96,53%","78,85%","93,86%","85,67%","80,65%","83,78%","83,99%","84,92%","94,07%","50,12%","66,16%"
