Gloss,Portuguese_KOR,Korlai,Portuguese_DAM,Daman,Portuguese_DIU,Diu,Portuguese_SRL,Sri Lanka PT,Portuguese_KAN,Kannur,Portuguese_MAL,Malacca,Portuguese_MAC,Macau,Portuguese_TB,Tugu/Batavia,Portuguese_STG,Santiago CV,Portuguese_SAT,SantoAntão CV,Portuguese_SVC,SãoVicente CV,Portuguese_FOG,Fogo CV,Portuguese_BRV,Brava CV,Portuguese_STM,Santome,Portuguese_FDB,Fá d'Ambô,Portuguese_PRC,Principense,Portuguese_ANG,Angolar,Portuguese_GUI,Guinea Bissau,Portuguese_CAS,Casamancese,Iberian_PAP,Papiamento,Spanish_PAL,Palenquero,Spanish_CAV,CaviteChabacano,Spanish_TER,TernateChabacano,Spanish_ZAM,ZamboangaChabacano,French_KAR,Karipuna,French_LOU,Louisiana,French_GUY,Guianese,French_HAI,Haitian,French_GUA,Guadeloupean,French_MAR,Martinican,French_SLU,SaintLucian,French_MAU,Mauritian,French_REU,Réunionese,French_SEY,Seychellois
some,alɡũ,angu,alɡũ,algũ,alɡũ,ãgu,alɡũ,aluŋ,alɡũ,,,kalteŋ,kwɐ̃tu,kwantu,kwɐ̃tu,aluŋ,algũ,ɐlgũ,kojziɲɐ,kziɲɐ,ũʃ,ũʃ,algũ,ũpoku,ũpowku,ũpoku,ũɐdojs,ũadosu,,almidudʒi,ũɐdojs,,ũɐdojs,,aɫgũʃ,aɫgũʃ,algũʃ,,algun,algun,algun,,poku,poku,poku,pukitiŋ,algun,algun,,unde,kɛlk,kɛk,kɛlk,kɛk,kɛlk,kɛk,œ̃dø,jɔ̃nde,œ̃dø,jɔ̃nde,,tibrɛ̃,,detɣwa,kɛlk,,œ̃pø,ɛ̃pe
spit,kuspiɾ,kuspi,kuspiɾ,kuspi,kuspiɾ,kuspi,kuspiɾ,kuspii,kuspiɾ,kuspi,kuspiɾ,kuspi,kuspiɾ,kuspi,pĩtʃaɾkuspi,pintʃakuspi,kuspiɾ,kuspi,kuʃpiɾ,kʃpi,kuʃpiɾ,kuʃpi,kuspiɾ,kuspi,kuspiɾ,guspi,kuspiɾ,kupi,kuspiɾ,,kuspiɾ,kupi,kuspiɾ,kupi,kuʃpiɾ,kuʃpi,kuʃpiɾ,,eskupiɾ,skupi,eskupiɾ,kupi,eskupiɾ,iskupi,eskupiɾ,iskuptja,eskupiɾ,iskupi,kʀaʃe,khaʃe,kʀaʃe,kɾaʃe,kʀaʃe,kʁaʃe,kʀaʃe,kɣaʃe,kʀaʃe,kɣaʃe,kʀaʃe,kɣaʃe,kʀaʃe,kwaʃa,kʀaʃe,kɣase,kʀaʃe,,kʀaʃe,kɣase
split,ɐbɾiɾ,abɾi,ɐbɾiɾ,abɾi,ɐbɾiɾ,,ɐbɾiɾ,,ɐbɾiɾ,,fẽdeɾ,fende,fẽdeɾ,fende,fẽdeɾ,fendi,pɐɾtiɾ,pɐti,rɐtʃaɾ,rɐtʃa,rɐtʃaɾ,ʀɐtʃa,rɐtʃaɾ,ɾɐtʃa,rɐtʃaɾ,ɾɐtʃa,dividiɾ,dividi,lɐskaɾ,lasa,tɐʎaɾ,tɔlɔ,tɐʎaɾ,taja,diβidiɾ,dividi,diβidiɾ,,sepaɾaɾ,sepaɾa,diβiðiɾ,ɾibiɾi,rompeɾ,rumpi,paɾtiɾ,paɾti,diβiðiɾ,dividi,sepaʀe,sepahe,fɑ̃dʀ,fãn,sepaʀe,sepaʁe,fɑ̃dʀ,fãn,fɑ̃dʀ,fãn,fɑ̃dʀ,fãn,fɑ̃dʀ,fãn,fɑ̃dʀ,fan,fɑ̃dʀ,,fɑ̃dʀ,fãn
squeeze,ispɾemeɾ,ispərme,ispɾemeɾ,iʃprəme,ispɾemeɾ,,ispɾemeɾ,ispɾome,ispɾemeɾ,,,bakwa,,katʃipia̹,,,ispɾemeɾ,spɾemi,ʃpɾɨmeɾ,ʃpreme,ʃpɾɨmeɾ,ʃpɾeme,ispɾemeɾ,spɾeme,ispɾemeɾ,spɾeme,ispɾemeɾ,pleme,ɐpeɾtaɾ,peeta,ispɾemeɾ,peme,ɐpeɾtaɾ,pɛta,espɾemeɾ,peɾmi,ɐpeɾtaɾ,mpeɾta,pɾemiɾ,pɾimi,apɾetaɾ,,espɾemeɾ,ispɾimi,espɾemeɾ,tʃaka,espɾemeɾ,,seʀe,sehe,kwɛ̃se,kwẽse,seʀe,seʁe,seʀe,seɣe,seʀe,seɣe,seʀe,seɣe,seʀe,sewe,seʀe,seɣe,seʀe,,seʀe,pɣese
stab,fuɾaɾ,fuɾa,fuɾaɾ,fuɾa,fuɾaɾ,fuɾa,fuɾaɾ,fiɾi,,tʃutʃɛ,fizgaɾ,fizga,isfakjaɾ,fakia̹,isfakjaɾ,,daɾkõfakɐ,dɐ ku fakɐ,ʃfɐkjaɾ,ʃfkja,daɾdɨfakɐ,dadfakɐ,daɾkõfakɐ,dɐkufakɐ,daɾkõfakɐ,dɐkufakɐ,daɾfakɐ,dafaka,daɾfakɐ,,daɾfakɐ,,daɾfakɐ,,ɐpuɲɐlaɾ,puɲɛlɐ,ɐpuɲɐlaɾ,,hinkaɾ,hinka,apuɲalaɾ,,apuɲalaɾ,,apuɲalaɾ,,apuɲalaɾ,sagsag,pwaɲaʀde,,pike,pike,pike,pike,,futjunkudkuto,pɛʀse,pɛse,pɛʀse,pice,pwaɲaʀde,pɔ̃jade,pwaɲaʀde,pwagnaɣde,pwaɲaʀde,,pwaɲaʀde,pike
stand,ẽpɛ,ipetɛ,fikaɾẽpɛ,fikaimpe,ẽpɛ,ẽpe,ẽpɛ,impɛ,ẽpɛ,impɛ,ẽpɛ,impe,ẽpɛ,empe,ẽpɛ,empe,levɐ̃taɾ,lɐbɐ̃tɐ,lɨvɐ̃taɾ,lvãnta,lɨvɐ̃taɾ,levɐ̃ta,,sɐke,,sɐke,,mũdʒa,levãtaɾ,lããta,,mũdja,levãtaɾ,lata,,jɐ̃dɐ,,sikidu,paɾaɾ,paɾa,leβantaɾ,,leβantaɾ,libanta,leβantaɾ,libanta,leβantaɾ,libanta,sələve,leve,kɑ̃pe,kãpe,sələve,leve,kɑ̃pe,kãpe,ləve,leve,ləve,leve,dəbu,dubut,,dibute,,debute,dəbu,ɟibut
star,istɾelɐ,istɾel,istɾelɐ,istɾel,istɾelɐ,istɾel,istɾelɐ,istɾɛɛla,istɾelɐ,ɪstɾɛlə,istɾelɐ,strela,istɾelɐ,estɾela,istɾelɐ,istɾela,istɾelɐ,stɾɛla,ʃtɾelɐ,ʃtɾelɐ,ʃtɾelɐ,ʃtɾela,istɾelɐ,stɾela,istɾelɐ,stɾela,istɾelɐ,ʃtlɛlɐ,istɾelɐ,tɛɛla,istɾelɐ,ʃtɛlɐ,istɾelɐ,tetẽbu,ʃtɾelɐ,ʃtrelɐ,ʃtɾelɐ,,estɾeʎa,stɾea,estɾeʎa,,estɾeʎa,estɾelja,estɾeʎa,estɾelja,estɾeʎa,istɾeʎa,dezetwɛl,zɛtwɛl,etwal,etwal,dezetwɛl,zetwɛl,dezetwal,etwal,dezetwɛl,zetwɛl,dezetwɛl,zetwal,etwal,etwal,dezetwal,zetwal,dezetwal,zetwal,dezetwal,zetwal
stick,paw,paw,paw,paw,paw,paw,paw,paaʋ,kɐnɐ,kanə,paw,paw,paw,pau,paw,paw,paw,pɔ,ɨʃpetu,ʃpet,paw,paw,paw,po,paw,po,paw,pɔ,,buudã,paw,upa,paw,pɔ,paw,pɔ,paw,po,palu,palu,palo,palo,kaɲa,kanja,palu,palu,kaɲa,palitu,bɑtɔ̃,batõ,bɑtɔ̃,batõ,bɑtɔ̃,batõ,bɑtɔ̃,batõ,bɑtɔ̃,batɔ̃,bwa,bwa,bɑtɔ̃,batɔ̃,bɑtɔ̃,batõ,bɑtɔ̃,,bɑtɔ̃,batɔ̃
stone,pɛdɾɐ,pɛd,pɛdɾɐ,pɛd,pɛdɾɐ,pɛd,pɛdɾɐ,pɛɛdɾa,pɛdɾɐ,pædɾə,pɛdɾɐ,pedra,pɛdɾɐ,pedɾa,pɛdɾɐ,pedɾa,pɛdɾɐ,pɛdɾɐ,pɛdɾɐ,pɛdɾa,pɛdɾɐ,pɛdɾɐ,pɛdɾɐ,pedɾa,pɛdɾɐ,pedɾa,,budu,,budu,,ubudu,,budu,pɛdɾɐ,pɛdɾɐ,pɛdɾɐ,pedɾa,pjeðɾa,pjeda,pjeðɾa,pjedɾa,pjeðɾa,pjedɾa,pjeðɾa,pjedɾa,pjeðɾa,pjedɾa,ʀɔʃ,hɔʃ,kaju,kaju,ʀɔʃ,ʁɔʃ,ʀɔʃ,ɣoʃ,ʀɔʃ,ɣoʃ,ʀɔʃ,ɣoʃ,pjɛʀ,pjɛ,ʀɔʃ,ɣos,ʀɔʃ,ʀɔs,ʀɔʃ,ɣos
straight,diɾejtu,dɾɛtuɾ,diɾejtu,dɾet,diɾejtu,dɾet,diɾejtu,dɾeetu,diɾejtu,dɾɛtə,istɾejtu,stretu,istɾejtu,,,luɾus,rɛtu,ɾetu,ʀɛtu,ʀet,ʀɛtu,ʀet,rɛtu,ɾetu,rɛtu,ɾetu,direjtu,dletu,direjtu,deetu,direjtu,deetu,direjtu,deetu,diɾejtu,diɾitu,diɾejtu,,,diɾɛkt,rekto,,deɾetʃu,deɾetʃu,deɾetʃu,deɾetʃu,deɾetʃu,deɾetʃu,dʀwɛ,dhɛt,dʀwa,dɾwat,dʀwɛ,dʁɛt,dʀwa,dwat,dʀwɛ,dwɛt,dʀwɛ,dwɛt,dʀwɛ,dwet,dʀwa,dɣwat,dʀwa,,tudʀwa,tudɣwat
suck,mɐmaɾ,mamada,tʃupaɾ,tʃupa,tʃupaɾ,,tʃupaɾ,tʃupaa,tʃupaɾ,tʃupɛ,tʃupaɾ,tʃupa,tʃupaɾ,tʃupa,tʃupaɾ,tʃupa,tʃupaɾ,tʃupɐ,tʃupaɾ,tʃpa,tʃupaɾ,tʃpa,tʃupaɾ,tʃupɐ,tʃupaɾ,tʃupa,tʃupaɾ,supa,tʃupaɾ,supa,tʃupaɾ,supa,tʃupaɾ,θupa,tʃupaɾ,tʃupa,tʃupaɾ,cupa,tʃupaɾ,tʃupa,tʃupaɾ,,tʃupaɾ,tʃupa,mamaɾ,mama,mamaɾ,mama,syse,suse,syse,sise,syse,suse,syse,suse,syse,sise,syse,sise,syse,suse,syse,suse,syse,,syse,sise
sun,sɔl,sɔl,sɔl,sɔl,sɔl,sɔl,sɔl,sɔɔl,sɔl,sɔl,sɔl,sol,sɔl,sɔl,sɔl,,sɔl,sol,sɔl,sol,sɔl,sol,sɔl,sol,sɔl,sol,sɔl,sɔlɔ,sɔl,sɔlɔ,sɔl,usɔlu,sɔl,θɔlɔ,sɔl,sɔl,sɔl,sol,sol,solo,sol,,sol,sol,sol,sol,sol,sol,sɔlɛj,solej,sɔlɛj,solej,sɔlɛj,solej,sɔlɛj,solɛj,sɔlɛj,solɛj,sɔlɛj,solɛj,sɔlɛj,sɔlɛj,sɔlɛj,solej,sɔlɛj,solɛj,sɔlɛj,solej
swell,ĩtʃaɾ,itʃa,ĩtʃaɾ,intʃa,ĩtʃaɾ,ĩtʃa,ĩtʃaɾ,intʃa,ĩtʃaɾ,intʃə,fikaɾĩtʃadu,fikaintʃadu,fikaɾĩtʃadu,,fikaɾĩtʃadu,,ĩtʃaɾ,ĩtʃɐ,ĩtʃaɾ,ĩtʃa,ĩtʃaɾ,ĩtʃa,ĩtʃaɾ,ĩtʃɐ,ĩtʃaɾ,ĩtʃɐ,fumaɾ,fuma,fumaɾ,fuma,fumaɾ,fuma,fumaɾ,fuma,ĩʃaɾ,,ĩʃaɾ,,intʃaɾ,intʃa,intʃaɾse,,intʃaɾ,intʃa,intʃaðu,intʃaw,intʃaɾ,intʃa,ɡɔ̃fle,ghõfle,ɡɔ̃fle,gõfle,ɡɔ̃fle,gõfle,ɑ̃fle,ãfle,ɑ̃fle,ãfle,ɑ̃fle,ãfle,ɑ̃fle,ãfle,ɑ̃fle,ãfle,ɑ̃fle,,ɑ̃fle,
swim,nɐdaɾ,nada,nɐdaɾ,nada,nɐdaɾ,nada,nɐdaɾ,nada,nɐdaɾ,,nɐdaɾ,nada,nɐdaɾ,nada̹,nɐdaɾ,nada,nɐdaɾ,nadɐ,nɐdaɾ,nɐda,nɐdaɾ,nada,nɐdaɾ,nɐdɐ,nɐdaɾ,nadɐ,nɐdaɾ,lɐ̃da,nɐdaɾ,laanta,nɐdaɾ,lɐ̃da,nɐdaɾ,lɐ̃da,nɐdaɾ,nadɐ,nɐdaɾ,nada,nadaɾ,landa,naðaɾ,,naðaɾ,nada,naðaɾ,nada,naðaɾ,nada,naʒe,naʒe,naʒe,naʒe,naʒe,naʒe,naʒe,naʒe,naʒe,naʒe,naʒe,naʒe,naʒe,naʒe,naʒe,naze,naʒe,nazɛ,naʒe,nazɛɛ
tail,rabu,ɾʰab,rabu,ʀab,rabu,ɾab,rabu,ɾaʋ,rabu,ɾabə,rabu,rabu,rabu,rabu,rabu,ɾabu,rabu,ɾabu,ʀabu,ʀɔb,ʀabu,ʀɔb,rabu,ɾabu,rabu,ɾabu,rabu,labu,rabu,labu,rabu,urabu,rabu,labu,kawdɐ,,rabu,rabu,rabu,ɾabu,rabo,labo,rabu,rabu,rabu,rabu,rabu,rabu,lakø,laʃo,kø,ke,kø,tʃo,kø,ke,lakø,lace,lakø,lace,lakø,laʧe,lakø,lake,lakø,lake,lakø,lake
that,ɐkeli,akə,ɐkeli,akel,ɐkeli,ikəl,ɐkeli,aka,ɐkeli,akəl,ɐkeli,ki,ɐkɛlɐũɐ,akuŋa,ɐkeli,akelu,ɐkelila,kel la,ɐkelɨ,kel,ɐkelɨ,kel,ɐkelila,kella,ɐkeli,kel,ɐkeli,ke,ɐkeli,ʃiki,ɐkeli,ki,ɐkeli,,ɐkelila,kelɐ,ɐkelila,kella,ese,esei,akel,ake,akel,akel,akel,kalja,akel,akel,sa,sa,sa,sa,sa,sa,səla,sila,sa,sa,lotʀəla,lotla,sə,se,sa,sa,sa,sa,sa,sa
there,ɐli,ali,ɐli,ali,ɐli,ali,la,alaa,la,ali,ɐli,nali,ɐli,ali,ɐli,ala,ɐli,la,la,la,la,la,la,la,la,la,ɐla,ala,ɐla,ala,la,la,la,la,la,la,la,la,aʎa,aja,aʎa,ai,aʎa,alja,aʎa,aji,aʎa,aʎa,la,la,la,la,la,la,la,la,la,la,la,la,la,la,laba,laba,laba,,la,la
they,elis,elo,elis,elz,elis,elz,elis,etus,elis,olot,eliowtɾu,olotu,eliowtɾu,olotɾu,ʒẽtiɐka,dʒentiaka,elis,es,eɫɨʃ,eʃ,eɫɨʃ,es,elis,es,elis,ezi,,ine,,ɛnɛ,,inɛ,,ɛnɛ,elis,elis,elis,ɟelus,,nan,,ane,eʎus,ilus,eʎusotɾus,lotɾu,eʎus,sila,il,je,il,je,il,je,ø,jo,ø,jo,ø,jo,ø,jo,lezotʀ,zot,lezotʀla,zotla,lezotʀ,zot
thick,gɾosu,gɾos,gɾosu,gɾos,gɾosu,gɾos,gɾosu,gɾoosu,gɾosu,gɾosə,gɾosu,grosu,gɾosu,gɾo̹so,,tebal,gɾosu,gɾɔs,gɾosu,gɾos,gɾosu,gɾos,gɾosu,gɾɔs,gɾosu,gɾosu,gɾosu,glɔsu,gɾosu,gɔɔsu,gɾosu,gɔsu,,nɛtaɾu,gɾosu,gɾɔs,gɾosu,gɾos,goɾdo,goɾdo,gɾweso,,gɾwesu,gɾwesu,gɾwesu,gɾwesu,gɾwesu,gɾwesu,epɛ,pɛs,epɛ,epe,epɛ,epɛs,epɛ,epe,epɛ,epe,epɛ,epe,epɛ,epe,epɛ,epe,epɛ,,epɛ,epe
thin,ralu,ɾʰal,ralu,ʀal,finu,fin,finu,finu,finu,finə,finu,finu,magɾu,magɾu,magɾu,magɾi,finu,finu,finu,fin,finu,fin,finu,finu,finu,finu,delgadu,dlɛgadu,delgadu,dɛɛgadu,finu,finu,magɾu,mɐ̃gu,finu,,delgadu,dalgadu,delgaðu,delega,delgaðo,ɾeggao,finu,pinu,flaku,plaku,finu,pinu,mɛɡʀ,mɛg,fɛ̃,fẽ,mɛɡʀ,mɛg,mɛ̃s,mẽs,fɛ̃,fɛ̃,fɛ̃,fɛ̃,mɛ̃s,mɛ̃s,mɛ̃s,mẽs,mɛɡʀ,mɛg,mɛ̃s,mɛ̃s
think,,ʋitʃaɾhedze,pẽsaɾ,pensa,pẽsaɾ,pẽsa,lẽbɾaɾ,lembɾa,lẽbɾaɾ,lembɾa,pẽsaɾ,pensa,,rena̜,lẽbɾaɾ,lembɾa,pẽsaɾ,pẽsɐ,pẽsaɾ,pẽnsa,pẽsaɾ,pẽsa,pẽsaɾ,pẽsɐ,pẽsaɾ,pẽsɐ,pẽsaɾ,pɛ̃sa,pẽsaɾ,pẽsa,pẽsaɾ,pẽsa,pẽsaɾ,pɛ̃θa,lẽbɾaɾ,lẽbɾa,lẽbɾaɾ,,pensaɾ,pensa,pensaɾ,pensa,pensaɾ,pinsa,pensaɾ,pensa,pensaɾ,pensa,imaʒine,maʒine,ʒɔ̃ɡle,ʒõŋgle,pɑ̃se,pãse,pɑ̃se,pãse,sɔ̃ʒe,sɔ̃ʒe,sɔ̃ʒe,sɔ̃ʒe,sɔ̃ʒe,pãse,imaʒine,mazine,imaʒine,mazine,imaʒine,pãse
this,,je,esti,es,esti,es,esti,isti,esti,isti,esti,isti,ɛstɐũɐ,istuŋa,ɛstɐ,esta,ɐkelilɐli,kel li,ɐkelɐi,kelei,esɨ,es,ɐkelilɐli,kelli,ɐkeliɐli,kelli,isuɐki,isaki,isuɐki,isala,isuɐki,,isuɐki,,esɨ,ɛs,esi,es,estiaki,esaki,este,ese,esti,este,esti,esti,esti,esti,sa,sa,sa,sa,sa,sa,sa,sa,cəci,si,cəla,tala,cəla,sala,sa,sa,sa,sa,sa,sa
three,tɾes,tɾej,tɾes,tɾej,tɾes,tɾej,tɾes,tɾees,tɾes,tɾesə,tɾes,tres,tɾes,tɾes,tɾes,tɾes,tɾes,tɾɛs,tɾeʃ,tɾeʃ,tɾeʃ,tɾeʃ,tɾes,tɾes,tɾes,tɾes,tɾes,tleʃi,tɾes,teeʃi,tɾes,teeʃi,tɾes,teeʃi,tɾes,tɾes,tɾes,tres,tɾes,tɾes,tɾes,tɾes,tɾes,tɾes,tɾes,tɾes,tɾes,,tʀwɑ,thwa,tʀwɑ,tɾwa,tʀwɑ,tʁwa,tʀwɑ,,tʀwɑ,twa,tʀwɑ,twa,tʀwɑ,twa,tʀwɑ,tɣwa,tʀwɑ,tʀwa,tʀwɑ,tɣwa
throw,ɐtiɾaɾ,atɾa,ɐtiɾaɾ,atɾa,ɐtiɾaɾ,atəɾa,pĩtʃaɾ,pintʃaa,pĩtʃaɾ,,pĩtʃaɾ,pintʃa,ɐtiɾaɾ,atiɾa̜,pĩtʃaɾ,pintʃa,daɾ,djɐ,ɐʀɪɨmɨsaɾ,ʀemesa,lɐ̃saɾ,bta,daɾ,botɐ,daɾ,botɐ,ʒugaɾ,zuga,ʒugaɾ,zugwa,ʒugaɾ,zuga,ʒugaɾ,ðuga,mɐ̃daɾ,mɐ̃da,botaɾ,bota,tiɾaɾ,tiɾa,etʃaɾ,etʃa,botaɾ,buta,tiɾaɾ,tiɾa,botaɾ,buta,ʒəte,ʒite,ɡaʀɔʃe,gaɾoche,ʒəte,,ʒəte,ʒəte,laʀʒeatɛʀ,laɟeatɛ,ʒəte,ʒete,ʒəte,ʒete,ʒəte,zete,ʒəte,,ʒəte,zete
tie,ɐmɐraɾ,mhaɾa,ɐmɐraɾ,maʀa,ɐmɐraɾ,aməɾa,ɐmɐraɾ,maɾaa,ɐmɐraɾ,maɾɛ,ɐmɐraɾ,mara,ɐmɐraɾ,maɾa̹,ɐmɐraɾ,maɾa,ɐmɐraɾ,maɾɐ,ɐmɐʀaɾ,mɐʀa,ɐmɐʀaɾ,maʀa,ɐmɐraɾ,maɾɐ,ɐmɐraɾ,maɾɐ,ɐmɐraɾ,mala,ɐmɐraɾ,mala,ɐmɐraɾ,mara,ɐmɐraɾ,maa,ɐmɐraɾ,mara,ɐmɐraɾ,,amaraɾ,maɾa,amaraɾ,mala,amaraɾ,amara,amaraɾ,maʰra,amaraɾ,amaʰra,amaʀe,mahe,amaʀe,amaɾe,amaʀe,maʁe,amaʀe,maɾẽ,,ljãne,amaʀe,maɣe,ataʃe,ataʃe,amaʀe,amaɣe,amaʀe,,amaʀe,ãmaɣe
tongue,lĩgwɐ,liŋ,lĩgwɐ,liŋ,lĩgwɐ,liŋ,lĩgwɐ,lingu,lĩgwɐ,lingə,lĩgwɐ,liŋgu,lĩgwɐ,liŋgu,lĩgwɐ,liŋgu,lĩgwɐ,lĩgwɐ,lĩgwɐ,lĩŋgɐ,lĩgwɐ,lĩŋgɐ,lĩgwɐ,lĩgwɐ,lĩgwɐ,lĩgwɐ,lĩgwɐ,lũgwa,lĩgwɐ,lũŋga,lĩgwɐ,lũgɛ,lĩgwɐ,lũga,lĩgwɐ,lĩgwɐ,lĩgwɐ,,leŋgwa,leŋa,leŋgwa,lengwa,leŋgwa,leŋgwa,leŋgwa,leŋgwa,leŋgwa,leŋgwa,lɑ̃ɡ,laŋ,lalɑ̃ɡ,lalãŋg,lɑ̃ɡ,laŋ,lɑ̃ɡ,lãg,lɑ̃ɡ,lãg,lɑ̃ɡ,laŋ,lɑ̃ɡ,lãŋ,lalɑ̃ɡ,lalãŋ,lɑ̃ɡ,lãg,lalɑ̃ɡ,lalã
tooth,dẽti,dɛ̃t,dẽti,dent,dẽti,dẽt,dẽti,deenti,dẽti,denti,dẽti,denti,dẽti,dente,dẽti,denti,dẽti,dẽti,dẽtɨ,dẽnt,dẽtɨ,dẽt,dẽti,dẽti,dẽti,dẽti,dẽti,dẽtʃi,dẽti,dẽntʃi,dẽti,idɛ̃tʃɪ,dẽti,detʃɪ,dẽtɨ,dĩti,dẽtɨ,dinti,djenti,dʒente,djente,,djenti,djenti,djenti,djenti,djenti,djenti,dɑ̃,dã,dɑ̃,dã,dɑ̃,,dɑ̃,dã,dɑ̃,dã,dɑ̃,dã,dɑ̃,dã,lədɑ̃,ledã,dɑ̃,dã,lədɑ̃,ledã
tree,aɾβuɾi,alb,aɾβuɾi,aɾʋ,aɾβuɾi,aɾʋ,aɾβuɾi,aalʋɾi,aɾβuɾi,alʋɾi,aɾβuɾi,albi,aɾβuɾi,a̜ɾvɾe,aɾβuɾi,albəɾ,aɾβuɾi,aɾvi,aɾvuɾɨ,aɾv,aɾvuɾɨ,aɾv,aɾβuɾi,aɾvi,aɾβuɾi,aɾvi,aɾβuɾi,aluvu,upaw,opa,upaw,upa,upaw,,aɾβoɾɨ,arvorɪ,paw,po,palu,palu,aɾbol,abbol,,ponuo,,ponu,,ponu,pjebwa,pjebwa,bwa,bwa,bwa,bwa,pjebwa,pjebwa,pjebwa,pjebwa,pjebwa,pjebwa,pjebwa,pjebwa,pjebwa,pje,pjebwa,pje,pjebwa,pje
turn,βiɾaɾfɐzeɾ,ʋiɾahedze,βiɾaɾ,ʋiɾa,βiɾaɾ,ʋiɾa,βiɾaɾ,ʋiɾa,βiɾaɾ,ʋiɾə,βiɾaɾ,bira,βiɾaɾ,viɾa̜,βiɾaɾ,biɾa,βiɾaɾ,biɾɐ,viɾaɾ,vɾa,viɾaɾ,vɾa,βiɾaɾ,biɾa,βiɾaɾ,biɾa,βiɾaɾ,bila,βiɾaɾ,vla,βiɾaɾ,vja,βiɾaɾ,bila,βiɾaɾ,viɾɐ,βiɾaɾ,bida,biɾaɾ,biɾa,"xiɾaɾ,biɾaɾ",,biɾaɾ,biɾa,biɾaɾ,biɾa,biɾaɾ,biɾa,viʀe,vihe,tuʀne,tuɾne,viʀe,viʁe,tuʀne,tũnẽ,tuʀne,tunɛ̃,tuʀne,tunɛ̃,tuʀne,tune,viʀe,viɣe,tuʀne,tuʀne,viʀe,viɣe
two,dojs,doj,dojs,doj,dojs,doj,dows,doos,dows,dos,dows,dos,dows,do̹s,dows,dos,dows,dɔs,dojʃ,doj,dojʃ,doʃ,dojs,dos,dojs,dos,dows,dosu,dows,dosu,dows,dosu,dows,dosu,dows,dos,dows,dus,dows,dos,dos,ndo,dos,dos,dos,dos,dos,dos,dø,de,dø,de,dø,de,dø,de,dø,de,dø,de,dø,de,dø,de,dø,de,dø,de
vomit,βumitaɾ,gumita,lɐ̃saɾ,lansa,lɐ̃saɾ,,βumitaɾ,gumitaa,βumitaɾ,gumtə,βumitaɾ,gumita,βumitaɾ,,βumitaɾ,,βumitaɾ,gumitɐ,vumitaɾ,vmita,vumitaɾ,vumita,βumitaɾ,vumitɐ,βumitaɾ,vomitɐ,βumitaɾ,ŋgumita,lɐsaɾ,luza,βumitaɾ,gumita,βumitaɾ,ŋgumita,,rɔbasa,βumitaɾ,,aroxaɾ,aɾoha,bomitaɾ,,bomitaɾ,bumita,bomitaɾ,gumita,bomitaɾ,gumita,vɔmiʀ,vomi,vɔmiʀ,vomi,vɔmiʀ,vʁõmi,vɔmiʀ,vomi,vɔmiʀ,vɔ̃mi,vɔmiʀ,vɔ̃mi,vɔmiʀ,vɔ̃mi,vɔmiʀ,vomi,vɔmiʀ,,vɔmiʀ,vomi
walk,mɐɾtʃaɾ,maɾtʃa,mɐɾtʃaɾ,maɾtʃa,ɐ̃daɾ,ãda,ɐ̃daɾ,matʃa,mɐɾtʃaɾ,maɾtʃæ,ɐ̃daɾ,anda,ɐ̃daɾ,anda̜,mɐɾtʃaɾ,maɾtʃa,ɐ̃daɾ,ɐ̃dɐ,ɐ̃daɾ,ãnda,ɐ̃daɾ,ãda,ɐ̃daɾ,ɐndɐ,ɐ̃daɾ,ɐnda,ɐ̃daɾ,ɐ̃dali,ɐ̃daɾ,nda,ɐ̃daɾ,nda,ɐ̃daɾ,nda,ɐ̃daɾ,jɐ̃dɐ,ɐ̃daɾ,ɟenda,kaminaɾ,kana,kaminaɾ,kamina,kaminaɾ,kamina,kaminaɾ,kamina,kaminaɾ,kamina,maʀʃe,maʃe,maʀʃe,maɾʃe,maʀʃe,maʃe,maʀʃe,maʃe,maʀʃe,maʃe,maʀʃe,maʃe,maʀʃe,maʃe,maʀʃe,maɣse,maʀʃe,maase,maʀʃe,maase
warm,kẽti,kɛ̃t,kẽti,kent,kẽti,kẽt,kẽti,keenti,kẽti,kenti,kẽti,kenti,kẽti,kente,kẽti,kenti,kẽti,kẽti,kẽtɨ,kẽnt,kẽtɨ,kẽt,kẽti,kẽti,kẽti,kẽti,kẽti,kẽtʃi,kẽti,kẽtʃi,kẽti,kẽtʃi,kẽti,ketʃi,kẽti,kĩntɪ,kẽti,cinti,kaljente,kajente,kaljente,,kaljenti,kaljenti,kaljenti,kaljenti,kaljenti,kaʎenti,ʃofe,ʃofe,ʃofe,ʃofe,ʃofe,ʃofe,ʃo,ʃo,ʃo,ʃo,ʃo,ʃo,ʃo,ʃo,ʃo,so,ʃo,so,ʃo,so
