Gloss,Portuguese_KOR,Korlai,Portuguese_DAM,Daman,Portuguese_DIU,Diu,Portuguese_SRL,Sri Lanka PT,Portuguese_KAN,Kannur,Portuguese_MAL,Malacca,Portuguese_MAC,Macau,Portuguese_TB,Tugu/Batavia,Portuguese_STG,Santiago CV,Portuguese_SAT,SantoAntão CV,Portuguese_SVC,SãoVicente CV,Portuguese_FOG,Fogo CV,Portuguese_BRV,Brava CV,Portuguese_STM,Santome,Portuguese_FDB,Fá d'Ambô,Portuguese_PRC,Principense,Portuguese_ANG,Angolar,Portuguese_GUI,Guinea Bissau,Portuguese_CAS,Casamancese,Iberian_PAP,Papiamento,Spanish_PAL,Palenquero,Spanish_CAV,CaviteChabacano,Spanish_TER,TernateChabacano,Spanish_ZAM,ZamboangaChabacano,French_KAR,Karipuna,French_LOU,Louisiana,French_GUY,Guianese,French_HAI,Haitian,French_GUA,Guadeloupean,French_MAR,Martinican,French_SLU,SaintLucian,French_MAU,Mauritian,French_REU,Réunionese,French_SEY,Seychellois
neck,peskosu,biskos,gɐɾgɐ̃tɐ,gaɾgãt,gɐɾgɐ̃tɐ,,peskosu,piskoos,peskosu,piskos,gɐɾgɐ̃tɐ,garganta,gɐɾgɐ̃tɐ,,peskosu,piskosu,peskosu,piskɔs,pɨʃkosu,peskos,pɨʃkosu,peskos,peskosu,piskos,peskosu,piskos,,klɔ̃klɔ,,gotʃi,peskosu,koto,,sĩgo,pɨʃkosu,gɐrgɐ̃tɨ,pɨʃkosu,,,nɛk,kweʎo,,peskwesu,peskwesu,kweʎu,kwelju,peskwesu,peskwesu,ɡɔʀʒ,gɔʒ,ku,ku,ɡɔʀʒ,goʁʒ,ku,ku,ku,ku,ku,ku,ku,ku,ləku,liku,ku,ku,ləku,liku
new,noβu,nob,noβu,noʋ,noβu,noʋ,noβu,nooʋ,noβu,nɔʋə,noβu,nubu,noβu,novu,noβu,nobu,noβu,nɔbu,novu,nov,novu,nov,noβu,nɔbu,noβu,nobu,noβu,nɔvu,noβu,nɔvu,noβu,nɔvu,noβu,nɔvu,noβu,nobu,noβu,nobu,noβu,nobo,nweβo,,nweβu,nwebu,nweβu,nwebu,nweβu,nwebu,nuvo,nɔv,nuvo,nuvo,nuvo,nɔv,nuvo,nuvo,nuvo,nuvo,dɛʀnjɛʀ,dɛnje,nuvo,nivo,nuvo,nuvo,nuvo,nev,nœf,nef
night,anojti,anot,anojti,anot,nojti,nojt,anojti,anooti,anojti,nojti,anojti,anuti,anojti,ano̹te,anojti,anoti,nojti,noti,nojtɨ,not,dɨnojtɨ,dnot,nojti,noti,nojti,noti,nojti,notʃi,nojti,notʃi,nojti,unotʃi,nojti,noti,nojtɨ,nojtɨ,nojtɨ,noti,notʃi,notʃi,notʃe,,notʃi,notʃi,notʃi,notʃi,notʃi,notʃi,nɥi,nwit,nɥi,nwit,lanɥi,lanwi,nɥi,nwit,lanɥi,lãnuit,lanɥi,lãnwit,lanɥi,lãnɥit,lanɥi,lanwi,nɥi,nwit,lanɥi,lanwit
nose,nɐɾis,naɾis,nɐɾis,naɾis,nɐɾis,naɾis,nɐɾis,naaɾis,nɐɾis,naɾis,nɐɾis,naris,nɐɾis,naɾiz,nɐɾis,naɾis,nɐɾis,nɐɾis,nɐɾiʃ,neɾis,nɐɾiʃ,neɾiʃ,nɐɾis,nɐɾis,nɐɾis,naɾis,nɐɾis,liʃi,nɐɾis,liʃi,nɐɾis,iriʃɪ,nɐɾis,lisɪ,nɐɾis,naris,nɐɾis,naris,naɾis,naniʃi,naɾis,,naɾis,naɾis,naɾis,naɾis,naɾis,naɾis,ne,ne,ne,ne,ne,nẽ,ne,ne,ne,nɛ̃,ne,nɛ̃,ne,ne,ne,nene,ne,ne,ne,nɛ̃nɛ̃
not,nɐ̃w̃,nu,nɐ̃w̃,nun,nɐ̃w̃,nã,nɐ̃w̃,na,nɐ̃w̃,na,nũkɐ,ŋka,nɐ̃w̃,noŋ,nɐ̃w̃,na,nũkɐ,kɐ,nɐ̃w̃,n,nũkɐ,kɐ,nũkɐ,kɐ,nũkɐ,kɐ,nõ,inɔ,,koma,,kumɐ,,wa,nɐ̃w̃,naw,nɐ̃w̃,naw,no,no,no,nu,no,no,no,no,no,no,nɔ̃,nõ,pa,pa,nɔ̃,nõ,pa,pa,pa,pa,pa,pa,pa,pa,pa,pa,pa,pa,pa,pa
old,βɛʎu,ʋɛl,βɛʎu,ʋɛʎ,βɛʎu,ʋɛj,βɛʎu,ʋɛɛj,βɛʎu,ʋæli,βɛʎu,belu,βɛʎu,velu,βɛʎu,belu,βɛʎu,bedʒu,vɛʎu,vej,vɛʎu,bedʒ,βɛʎu,bɛdʒu,βɛʎu,bɛdʒu,βɛʎu,vɛ,βɛʎu,vɛ,βɛʎu,vɛ,βɛʎu,vɛ,βɛʎu,bedʒʊ,βɛʎu,beɟu,bjexu,biew,bjexo,,bjexu,bjehu,bjexu,bjehu,bjexu,bjehu,vjø,vje,vjø,vje,vjø,vje,vjø,vje,vjø,vie,vjø,vje,vjø,vie,vjø,vie,vjø,vje,vjø,vje
one,ũ,ũ,ũ,ũ,ũ,ũ,ũɐ,uŋa,ũɐ,uŋa,ũɐ,ŋwa,ũɐ,uŋa,ũɐ,uŋ,ũ,ũ,ũ,ũ,ũ,ũ,ũ,ũ,ũ,ũ,ũɐ,ũa,ũɐ,ũ,ũɐ,ũa,ũɐ,ũa,ũ,ũ,ũ,unsoɲ,ũ,ũ,uno,un,unu,unu,unu,una,unu,un,œ̃,wun,œ̃,ẽn,œ̃,un,œ̃,jun,œ̃,jɔ̃n,œ̃,jɔ̃n,œ̃,jõn,œ̃,ẽ,œ̃,ɛ̃,œ̃,ɛ̃
other,majzũ,majzũ,otɾu,ot,otɾu,ot,otɾu,ootɾu,otɾu,otɾə,otɾu,ɔːtu,owtɾɐũɐ,otɾuŋa,owtɾɐũɐ,otəɾ,owtɾu,otu,owtɾu,ot,owtɾu,ot,owtɾu,otu,owtɾu,otu,owtɾu,otlo,owtɾu,utulu,owtɾu,otu,owtɾu,oto,owtɾu,otɾu,owtɾu,wutur,otɾu,otɾo,otɾo,uto,otɾu,otɾu,otɾu,otɾu,otɾu,otɾu,otʀ,wɔt,dotʀ,dɔt,otʀ,wot,lezotʀ,zɔt,lotʀ,lot,lotʀ,lot,lotʀ,lɔt,lotʀ,lot,dotʀ,dot,lotʀ,lot
play,bɾĩkaɾ,biɾka,bɾĩkaɾ,bɾinka,bɾĩkaɾ,bɾĩka,bɾĩkaɾ,bɾinka,bɾĩkaɾ,bɾinkə,bɾĩkaɾ,briŋka,bɾĩkaɾ,brinka̜,bɾĩkaɾ,bɾiŋka,ʒugaɾ,dʒugɐ,ʒugaɾ,ʒga,bɾĩkaɾ,bɾĩka,ʒugaɾ,dʒuga,ʒugaɾ,ʒuga,fɔlgɐ,flɔga,fɔlgɐ,fuuga,fɔlgɐ,fɔga,fɔlgɐ,fɔga,,tɔkɐ,bɾĩkaɾ,bɾiŋka,xugaɾ,uŋa,xugaɾ,,xugaɾ,huga,xugaɾ,huga,xugaɾ,huga,ʒwe,ʒue,ʒwe,ʒwe,ʒwe,ʒwe,ʒwe,ʒwe,ʒwe,ʒwe,ʒwe,ʒwe,ʒwe,ʒwe,ʒwe,zwe,ʒwe,zwe,ʒwe,zwe
pull,puʃaɾ,puʃa,puʃaɾ,puʃa,puʃaɾ,,puʃaɾ,pusaa,puʃaɾ,pwisɛ,puʃaɾ,pusa,,ela̹,puʃɐɾ,pusa,puʃɐɾ,puʃɐ,puʃaɾ,pʃa,puʃaɾ,pʃa,puʃɐɾ,puʃa,puʃɐɾ,puʃa,sɐiɾ,saja,sɐiɾ,sɛa,sɐiɾ,saa,sɐiɾ,sie,,dʒũndɐ,,ɟunda,alaɾ,ala,tiɾaɾ,,tiɾaɾ,ila,tiɾaɾ,tiɾa,alaɾ,ala,hale,hale,hale,hale,hale,tiʁe,tiʀe,tiɣe,hale,ɣale,hale,ɣale,hale,tiwe,tiʀe,tiɣe,hale,ʀale,tiʀe,ciɣe
