Gloss,Class (Bowern 2007),Portuguese,Spanish,French,Korlai,Source Korlai,Daman,Source Daman,Diu,Source Diu,Sri Lanka PT,Source Sri Lanka PT,Kannur,Source Kannur,Malacca,Source Malacca,Macao,Source Macau,Tugu/Batavia,Source Tugu/Batavia,Santiago CV,Source Santiago CV,Santo Antão CV,Source Santo Antão CV,São Vicente CV,Source São Vicente CV,Fogo CV,Source Fogo CV,Brava CV,Source Brava CV,Santome,Source Santome CV,Fá d'Ambô,Source Fá d'Ambô,Principense,Source Principense,Angolar,Source Angolar,Guinea Bissau,Source Guinea Bissau,Casamancese,Source Casamancese,Papiamento,Source Papiamento,Palenquero,Source Palenquero,Cavite Chabacano,Source Cavite Chabacano,Ternate Chabacano,Source Ternate Chabacano,Zamboanga Chabacano,Source Zamboanga Chabacano,Karipuna,Source Karipuna,Guianese,Source Guianese,Louisiana,Source Louisiana,Haitian,Source Haitian,Guadeloupean,Source Guadeloupean,Martinican,Source Martinican,Saint Lucian,Source Saint Lucian,Mauritian,Source Mauritian,Réunionese,Source Réunionese,Seychellois,Source Seychellois
hold,transfer,sɨɡuɾaɾ,tener,təniʁ,tuma,Clements2012,tuma,Clements2012,tuma,Clements2012,toma,Clements2012,tama,Clements2012,sigura,BaxterSilva2004,pega̹,FernandesBaxter2001,,,suguɾɐ,Quint1998,pɲa,Baptista2014,sgeɾa,Baptista2019,pɐɲa,Tavares2020,pega,Baptista2019,pala,Bandeira2017,sugula,Bandeira2017,segwa,Araujo2012,θegwa,Bandeira2017,suguɾa,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,,,tene,JacobsHoyer2018,pega,Schwegler2000,gara,Diccionario2008,tjeni,Sippola2011,agara,DeCastro2019,tʃẽmbe,Tobler 1987,tjen,Barthèlemi 2007,tʃẽ,Valdman et al. 1999,kẽbe,Wittmann 1973,cɛ̃be,Barbotin & Tourenux 2000,cɛ̃be,Confiant 2007,tʃɛ̃be,Mondesir 1992,tini,Wittmann 1973,tjɛ̃bo,Stein 1984,tenii,"Michaelis, Rosalie & Muhme 2009"
horn,animal product,koɾnu,cuerno,kɔʁn,ʃiŋ,Clements2012,dãntʃ,Clements2012,tʃif,Clements2012,koɾnu,Clements2012,,,,,,,koɾnu,Maurer2011,koɾnu,Quint1998,tʃif,Baptista2014,ʃifɾ,Swolkien2015,koɾu,Tavares2020,,,kɔnɛta,AraujoHagemeijer2013,xõ,Bandeira2017,ʃifi,Araujo2012,kɔkɔ,Bandeira2017,tʃifɾi,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,cifur,Biagui2012,katʃu,Quint2000,katʃo,Moñino2002,kweɾnu,Diccionario2008,kweɾnu,Sippola2011,tuɾutut,Camins1999,kɔn,Tobler 1987,,,kɔɾn,Valdman et al. 1999,,,kɔ̃n,Barbotin & Tourenux 2000,kɔ̃n,Confiant 2007,kɔn,Frank 2001,koɣn,Baker1982,kɔɔn,Baker 1982,kɔɔn,Baker 1982
how,pro,kumu,cómo,kɔmã,kilɛ,Clements2012,kilaj,Clements2012,kom,Clements2012,kilaj,Clements2012,kɛlɛj,Clements2012,kaj,BaxterSilva2004,komu,FernandesBaxter2001,kan,Maurer2011,mɔdi,Quint1998,kmenɛrɐ,Baptista2014,mɐnɛɾɐ,Swolkien2015,simɐ,Tavares2020,mɔdɐ ki,Baptista2019,kumɐ,Bandeira2017,koma,Bandeira2017,kumɐ,Araujo2012,kumɐ,Bandeira2017,kuma,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,kuma,Biagui2012,kon,JacobsHoyer2018,kumo,Schwegler2000,kilaja,Sippola2013,kamo,Sippola2011,pakimodu,DeCastro2019,kumã,Tobler 1983,kumã,Barthèlemi 2007,komã,Valdman et al. 1999,kõmã,Wittmann 1973,kumã,Barbotin & Tourenux 2000,kimãnjɛ,Confiant 2007,kumã,Mondesir 1992,kumã,Wittmann 1973,komã,Stein 1984,kɔ̃mã,"Michaelis, Rosalie & Muhme 2009"
hunt,impact,kɐsaɾ,cazar,ʃase,kasadbiɾka,Clements2011,vajkasad,Clements2011,,,kasaɾia,SilvaTrigo2022,,,baiponta,BaxterSilva2004,,,,,kasɐ,Quint1998,kɐsa,Baptista2014,kasa,Baptista2019,kasa,Baptista2019,kasa,Baptista2019,kasa,AraujoHagemeijer2013,xasa,Cosme2014,kasa,Araujo2012,kaθa,Cosme2014,montia,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,,,jag,JacobsHoyer2018,,,buska,Diccionario2008,saka,Sippola2011,pahaɾea,Camins1999,alelaʃas,Tobler 1987,ʃase,Barthèlemi 2007,ʃase,Valdman et al. 1999,ʃase,Wittmann 1973,ʃase,Barbotin & Tourenux 2000,ʃase,Confiant 2007,ale laʃas,Mondesir 1992,lasas,Wittmann 1973,,,sase,"Michaelis, Rosalie & Muhme 2009"
husband,human,mɐɾidu,"esposo, marido","maʁi, epu",maɾid,Clements2011,maɾid,Clements2011,ɔm,Clements2012,maɾiːdu,Clements2012,maɾidə,Clements2012,maridu,BaxterSilva2004,maɾidu,FernandesBaxter2001,maɾidu,Maurer2011,mɐɾidu,Quint1998,meɾid,Baptista2014,meɾid,Baptista2019,maɾidu,Baptista2019,maɾidu,Baptista2019,malidu,Bandeira2017,mɛːdu,Bandeira2017,maːdu,Araujo2012,ɔmɛ,Bandeira2017,spozu,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,womi,Biagui2012,esposo,JacobsHoyer2018,mailo,Schwegler2000,maɾidu,Diccionario2008,maɾidu,Sippola2011,maɾidu,DeCastro2019,ɔm,Tobler 1983,maʁi,Barthèlemi 2007,maɾi,Valdman et al. 1999,maɣi,Wittmann 1973,mawi,Barbotin & Tourenux 2000,nɔ̃m maje,Confiant 2007,mawi,Mondesir 1992,maɣi,Wittmann 1973,maʀi,Staudacher-Valliamee 2001,maɣi,"Michaelis, Rosalie & Muhme 2009"
I,pro,ew,yo,ʒə,jo,Clements2011,jo,Clements2011,jo,Clements2012,eːʋ,Clements2012,jo,Clements2012,jo,BaxterSilva2004,yow,FernandesBaxter2001,jo,Maurer2011,m,Quint1998,mĩ,Baptista2014,ũ,Swolkien2015,mi,Tavares2020,n,Baptista2019,ami,Bandeira2017,amu,Bandeira2017,ami,Araujo2012,ami,Bandeira2017,ami,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,mi,Biagui2012,mi,Quint2000,i,Schwegler2000,jo,Diccionario2008,jo,Sippola2011,jo,DeCastro2019,mo,Tobler 1983,mo,Barthèlemi 2007,mo,Valdman et al. 1999,mwẽ,Wittmann 1973,mwɛ̃,Barbotin & Tourenux 2000,mwɛ̃,Confiant 2007,mwɛ̃,Frank 2001,mwa,Wittmann 1973,mwɛ̃,Baker 1982,mo,Baker 1982
ice,environment,ʒelu,hielo,ɡlas,bəɾəf,Clements2011,dʒel,Clements2011,dʒel,Clements2012,ajs,SilvaTrigo2022,ajs,Clements2012,,,,,agu pedɾa,Maurer2011,ʒɛlu,Quint1998,ʒel,Baptista2019,ʒel,Baptista2019,ʒelu,Baptista2019,ʒelu,Baptista2019,ʒelu,AraujoHagemeijer2013,,,,,,,ʒelu,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,,,ejs,JacobsHoyer2018,,,jelu,Diccionario2008,jelu,Sippola2011,,,laglas,Tobler 1987,glas,Barthèlemi 2007,laglas,Valdman et al. 1999,glas,Wittmann 1973,glas,Barbotin & Tourenux 2000,glas,Confiant 2007,laglas,Mondesir 1992,laglas,Wittmann 1973,,,glasɔ̃,"Michaelis, Rosalie & Muhme 2009"
if,conj,sɨ,si,si,ʃi,Clements2011,si,Clements2011,si,Clements2012,seː,Clements2012,sə,Clements2012,kantu,BaxterSilva2004,si,FernandesBaxter2001,kalu,Maurer2011,si,Quint1998,se,Baptista2014,se,Baptista2019,si,Baptista2019,si,Baptista2019,ʃi,Cosme2014,si,HagemeijerMaurer-CecchiniSegorbe2020,ʃi,Araujo2012,si,Cosme2014,si,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,si,Biagui2012,si,JacobsHoyer2018,si,Schwegler2000,si,Diccionario2008,si,Sippola2011,si,DeCastro2019,si,Tobler 1983,si,Barthèlemi 2007,si,Valdman et al. 1999,si,Wittmann 1973,si,Barbotin & Tourenux 2000,si,Confiant 2007,si,Mondesir 1992,si,Wittmann 1973,si,Stein 1984,si,"Michaelis, Rosalie & Muhme 2009"
in,location,ẽ,en,dɑ̃,supɛɾt,Clements2011,də,Clements2011,jũtdə,Clements2012,ntu,Clements2012,,,na,BaxterSilva2004,na,FernandesBaxter2001,dentəɾ,Maurer2011,nɐ,Quint1998,nɐ,Baptista2014,dẽt,Baptista2019,na,Baptista2019,na,Baptista2019,n,AraujoHagemeijer2013,ni,Cosme2014,na,Cosme2014,ni,Cosme2014,nɐ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,,,den,JacobsHoyer2018,lendɾo,Patiño2002,na,Diccionario2008,na,Sippola2011,na,DeCastro2019,ãdã,Tobler 1983,ã,Barthèlemi 2007,dã,Valdman et al. 1999,nã,Wittmann 1973,ã,Barbotin & Tourenux 2000,ã,Confiant 2007,ã,Mondesir 1992,dã,Wittmann 1973,dã,Stein 1984,dã,"Michaelis, Rosalie & Muhme 2009"
kill,impact,mɐtaɾ,matar,tɥe,mata,Clements2011,mata,Clements2011,mata,Clements2012,mataː,Clements2012,matæ,Clements2012,mata,BaxterSilva2004,,,mata,Maurer2011,matɐ,Quint1998,mata,Baptista2019,mɐta,Baptista2019,mɐtɐ,Tavares2020,mata,Baptista2019,mata,AraujoHagemeijer2013,mata,HagemeijerMaurer-CecchiniSegorbe2020,mata,Araujo2012,mata,Cosme2014,matɐ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,mata,Biagui2012,mata,Quint2000,mata,Schwegler2000,mata,Diccionario2008,mata,Sippola2011,mata,DeCastro2019,tʃue,Tobler 1983,tʃwe,Barthèlemi 2007,tʃwe,Valdman et al. 1999,tuje,Wittmann 1973,cwe,Barbotin & Tourenux 2000,cwe,Confiant 2007,ʧuje,Frank 2001,tuje,Wittmann 1973,tje,Baker 1982,tuje,Baker 1982
knee,body part,ʒueʎu,rodilla,ʒənu,dʰopa,Clements2011,indʒwel,Clements2011,dʒwej,Clements2012,indʒuʋej,Clements2012,,,nzelu,BaxterSilva2004,,,indʒabel,Maurer2011,dwedʒu,Quint1998,,,,,dwedʒu,Tavares2020,,,zũta,Bandeira2017,ozojo,Bandeira2017,oze,Araujo2012,mpuna,Bandeira2017,dʒudʒʊ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,,,ɾudija,Quint2000,luɾia,Schwegler2000,rudiljas,Diccionario2008,rudiljas,Sippola2011,rudiʎas,DeCastro2019,ʒunu,Tobler 1983,ʒunu,Barthèlemi 2007,ʒnu,Valdman et al. 1999,,,ʒunu,Barbotin & Tourenux 2000,ʒunu,Confiant 2007,ʒunu,Frank 2001,zenu,Wittmann 1973,zonu,Baker 1982,zenu,Baker 1982
know,perception verb,sɐbeɾ,saber,savwaʁ,sabe,Clements2011,sabe,Clements2011,sabe,Clements2012,saʋa,Clements2012,sabɛ,Clements2012,sabe,BaxterSilva2004,sabe,FernandesBaxter2001,kaŋse,Maurer2011,sɐbi,Quint1998,sɛb,Baptista2014,sɐbe,Baptista2019,sɐbe,Tavares2020,sabe,Baptista2019,se,AraujoHagemeijer2013,xonose,HagemeijerMaurer-CecchiniSegorbe2020,sebe,Araujo2012,eta,Cosme2014,sibi,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,sebe,Biagui2012,sabi,Quint2000,sabe,Schwegler2013,sabi,Diccionario2008,sabi,Sippola2011,sabi,DeCastro2019,save,Tobler 1983,save,Barthèlemi 2007,kõne,Valdman et al. 1999,kõnẽ,Wittmann 1973,sav,Barbotin & Tourenux 2000,sav,Confiant 2007,sav,Frank 2001,kone,Wittmann 1973,kone,Baker 1982,kone,Baker 1982
lake,environment,lagu,lago,lak,təla,Clements2011,tajnk,Clements2011,tãk,Clements2012,tanki,Clements2012,,,,BaxterSilva2004,,,lugaɾ agu,Maurer2011,lɐgwɐ,Quint1998,lɐgoɐ,Baptista2019,pɔsɐ,Baptista2019,lɐgoɐ,Baptista2019,lɐgoɐ,Baptista2019,oljo,AraujoHagemeijer2013,,,lagu,Araujo2012,,,lagu,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,,,lago,JacobsHoyer2018,,,lagu,Diccionario2008,lawa (Aus. etym),Ocampo1947,,,lag,Tobler 1983,lak,Barthèlemi 2007,lak,Valdman et al. 1999,etã,Wittmann 1973,lak,Barbotin & Tourenux 2000,lak,Confiant 2007,lak,Mondesir 1992,ɣezeɣvwaɣ,Wittmann 1973,,,lak,"Michaelis, Rosalie & Muhme 2009"
laugh,body verb,ʀiɾ,reír,ʁiʁ,ɾʰi,Clements2011,ɾi,Clements2011,ɾi,Clements2012,ɾiː,Clements2012,ɾihɛ,Clements2012,ri,BaxterSilva2004,ɾi,FernandesBaxter2001,ɾi,Maurer2011,ɾi,Quint1998,eɾi,Baptista2019,eɾi,Baptista2019,aɾi,Baptista2019,aɾi,Baptista2019,li,AraujoHagemeijer2013,li,HagemeijerMaurer-CecchiniSegorbe2020,rĩ,Araujo2012,di,Cosme2014,ɲiɲi,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,,,aɾi,JacobsHoyer2018,ɾi,BickertonEscalante1970,ri,Diccionario2008,reji,Sippola2011,rei,Camins1999,ahi,Tobler 1987,aʁi,Barthèlemi 2007,ɾi,Valdman et al. 1999,ɣi,Wittmann 1973,ɣi,Barbotin & Tourenux 2000,ɣi,Confiant 2007,wi,Mondesir 1992,ɣiɣ,Wittmann 1973,ʀi,Staudacher-Valliamee 2001,ɣiɣe,"Michaelis, Rosalie & Muhme 2009"
leaf,environment,foʎɐ,hoja,fœj,fol,Clements2011,fol,Clements2011,foj,Clements2012,fɔːja,Clements2012,fɔʎə,Clements2012,fola,BaxterSilva2004,fɔlja,FernandesBaxter2001,fola,Maurer2011,fodʒa,Quint1998,fɔʎa,Baptista2019,fɔʎa,Baptista2019,fɔdʒa,Baptista2019,fɔdʒa,Baptista2019,fja,Bandeira2017,fol,Bandeira2017,fja,Araujo2012,fja,Bandeira2017,foʎɐ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,paɟa,Biagui2012,foja,JacobsHoyer2018,,,ohas,Diccionario2008,ohas,Sippola2011,ohas,DeCastro2019,fej,Tobler 1983,fej,Barthèlemi 2007,fej,Valdman et al. 1999,fɛj,Wittmann 1973,fej,Barbotin & Tourenux 2000,fej,Confiant 2007,fej,Frank 2001,fej,Wittmann 1973,fej,Baker 1982,fej,Baker 1982
left,adjective,ɨʃkeɾdɐ,izquierda,ɡoʃ,dawɾibadzu,Clements2012,iʃkeɾd,Clements2012,ladiskeɾd,Clements2012,majskaɾda,Clements2012,left,Clements2012,skerdu,BaxterSilva2004,,,,,skɛɾdɐ,Quint1998,ʃkeɾdɐ,Baptista2019,ʃkeɾdɐ,Baptista2019,skɛɾdɐ,Baptista2019,skɛɾdɐ,Baptista2019,ʃkɛdu,Bandeira2017,skɛːdʒi,HagemeijerMaurer-CecchiniSegorbe2020,kjɛdɛ,Araujo2012,sikɛdu,Bandeira2017,ʃkeɾdɐ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,sikerdu,Biagui2012,ɾobes,JacobsHoyer2018,ikjedda,Schwegler1996,iskjeɾda,Diccionario2008,kaliwa,Sippola2011,iskjeɻda,DeCastro2019,gɔʃ,Tobler 1983,ɡoʃ,Barthèlemi 2007,goʃ,Valdman et al. 1999,gɔʃ,Wittmann 1973,goʃ,Barbotin & Tourenux 2000,goʃ,Confiant 2007,gɔʃ,Mondesir 1992,gos,Wittmann 1973,,,gos,"Michaelis, Rosalie & Muhme 2009"
leg,body part,pɛɾnɐ,pierna,ʒɑ̃b,pe,Clements2011,pe,Clements2011,pɛ,Clements2012,peː,Clements2012,pɛ,Clements2012,perna,BaxterSilva2004,peɾna,FernandesBaxter2001,pew,Maurer2011,pɛ,Quint1998,pɛɾna,Baptista2019,pɛɾnɐ,Baptista2019,pɛ,Baptista2019,pɛɾnɐ,Baptista2019,ɔpɛ,AraujoHagemeijer2013,pɛːna,HagemeijerMaurer-CecchiniSegorbe2020,pɛna,Araujo2012,ope,Cosme2014,perna,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,pe,Biagui2012,pia,JacobsHoyer2018,pjenna,Moñino2002,pjeɾna,Escalante2005,pjeɾna,Sippola2011,pjeɻna,DeCastro2019,ʒam,Tobler 1983,ʒãm,Barthèlemi 2007,ʒãm,Valdman et al. 1999,ʒãm,Wittmann 1973,ʒãm,Barbotin & Tourenux 2000,ʒãm,Confiant 2007,ʒãm,Mondesir 1992,lazam,Wittmann 1973,,,lazãm,"Michaelis, Rosalie & Muhme 2009"
lie,motion,dejtaɾ,"echarse (action), yacer, estar en el suelo (state)",setɑ̃dʁ,koɾppiʃad,Clements2011,diskənsa,Clements2011,diskənsa,Clements2012,detaː,Clements2012,dɛtɛ,Clements2012,deta,BaxterSilva2004,lagaɾtia̹,FernandesBaxter2001,,,detɐ,Quint1998,deta,Baptista2019,deta,Baptista2019,detɐ,Tavares2020,deta,Baptista2019,dɛta,AraujoHagemeijer2013,,,,,,,ditɐ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,dita,Biagui2012,lɛx,Quint2000,ɲiŋgota,Mercado2026,,,kusta,Ocampo1947,ligid,DeCastro2019,kuʃe,Tobler 1983,kuʃe,Barthèlemi 2007,kuʃe,Valdman et al. 1999,kuʃe,Wittmann 1973,lɔ̃ʒe,Barbotin & Tourenux 2000,lɔ̃ʒe,Confiant 2007,kuʃe,Frank 2001,alõze,Wittmann 1973,kuse,Baker 1982,alɔ̃ze,Baker 1982
live,body verb,viveɾ,vivir,vivʁ,ʋibhika,Clements2011,vive,Clements2011,vive,Clements2012,ʋiʋe,Callaway1820,,,bibe,BaxterSilva2004,vivu,FernandesBaxter2001,vivi,Maurer2011,bibi,Quint1998,vive,Baptista2014,vive,Baptista2019,vive,Baptista2019,vive,Baptista2019,vive,AraujoHagemeijer2013,ta,Cosme2014,veve,Araujo2012,ta,Cosme2014,vivɪ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,,,biba,JacobsHoyer2018,bibi,Schwegler2013,bibi,Diccionario2008,bibi,Sippola2011,bibi,DeCastro2019,hete,Tobler 1983,viv,Barthèlemi 2007,viv,Valdman et al. 1999,viv,Wittmann 1973,viv,Barbotin & Tourenux 2000,viv,Confiant 2007,viv,Mondesir 1992,viv,Wittmann 1973,,,ɣeste,"Michaelis, Rosalie & Muhme 2009"
liver,body part,figɐdu,hígado,fwɑ,fig,Clements2011,fig,Clements2011,fig,Clements2012,fiʋdu,Clements2012,liveɾ,Clements2012,fildu,BaxterSilva2004,,,koɾsaŋ,Maurer2011,figu,Quint1998,fig,Baptista2019,fig,Baptista2019,figu,Tavares2020,figɐdu,Baptista2019,figadu,Cosme2014,fugudu,Bandeira2017,figadu,Araujo2012,figadu,Bandeira2017,figɐdu,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,,,higɾa,Quint2000,igaɾo,Moñino2002,igadu,Diccionario2008,ataj,Sippola2011,igadu,DeCastro2019,fwa,Tobler 1983,fwa,Barthèlemi 2007,fwa,Valdman et al. 1999,fwa,Wittmann 1973,fwa,Barbotin & Tourenux 2000,fwa,Confiant 2007,fwa,Frank 2001,lefwa,Wittmann 1973,fwa,Baker 1982,lefwa,Baker 1982
long,adjective,kũpɾidu,largo,lõ,kopɾid,Clements2011,kumpɾid,Clements2011,kõpɾid,Clements2012,kumpɾiːdu,Clements2012,kumpɾidə,Clements2012,kumpridu,BaxterSilva2004,kumpɾidu,FernandesBaxter2001,kumpɾidu,Maurer2011,kũpɾidu,Quint1998,kũŋpɾid,Baptista2019,kũpɾid,Baptista2019,kũpɾidu,Baptista2019,kũpɾidu,Baptista2019,lõgo,AraujoHagemeijer2013,loŋgo,HagemeijerMaurer-CecchiniSegorbe2020,lõgo,Araujo2012,lõgo,Cosme2014,kumpridʊ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,kumpridu,Biagui2012,laɾgu,Quint2000,lago,Hancock1975,laɾgu,Diccionario2008,laɾgu,Sippola2011,laɻgu,DeCastro2019,lɔ̃,Tobler 1983,loŋ,Barthèlemi 2007,lõ,Valdman et al. 1999,lõ,Wittmann 1973,loŋ,Barbotin & Tourenux 2000,lɔ̃,Confiant 2007,lɔ̃ŋ,Frank 2001,loŋ,Wittmann 1973,lɔ̃g,Baker 1982,lɔ̃,Baker 1982
louse,animal,pjoʎu,piojo,pu,pijol,Clements2011,pjoʎ,Clements2011,piol,Clements2012,pijoːj,Clements2012,pioji,Clements2012,pjolu,BaxterSilva2004,,,piolu,Maurer2011,pjodʒu,Quint1998,pjoj,Baptista2019,pjoj,Baptista2019,pjodʒu,Baptista2019,pjodʒu,Baptista2019,idu,Bandeira2017,idu,Bandeira2017,idu,Araujo2012,idu,Bandeira2017,kɐɾɐ̃gɐ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,,,pjew,Quint2000,,,piohu,Diccionario2008,pjohu,Sippola2011,,,pu,Tobler 1987,pu,Barthèlemi 2007,pu,Valdman et al. 1999,pu,Wittmann 1973,pu,Barbotin & Tourenux 2000,pu,Confiant 2007,pu,Frank 2001,lipu,Wittmann 1973,pu,Baker 1982,lipu,Baker 1982
man (adult male),human,ɔmẽ,varón,ɔm,ɔm,Clements2011,ɔm,Clements2011,ɔm,Clements2012,ɔːmi,Clements2012,ɔmi,Clements2012,omi,BaxterSilva2004,ome,FernandesBaxter2001,omi,Maurer2011,ɔmi,Quint1998,om,Baptista2014,ɔm,Swolkien2015,ɔmi,Baptista2019,ɔmi,Baptista2019,ɔmɛ,Bandeira2017,ɔmɛ,Bandeira2017,ɔmi,Araujo2012,ɔmɛ,Bandeira2017,omɪ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,womi,Biagui2012,hɔmbeɾ,Quint2000,ombe,BickertonEscalante1970,ombɾi,Diccionario2008,ombɾi,Sippola2011,ombɾi,DeCastro2019,ɔm,Tobler 1983,wõm,Barthèlemi 2007,nõm,Valdman et al. 1999,nɔm,Wittmann 1973,nɔ̃m,Barbotin & Tourenux 2000,nɔ̃m,Confiant 2007,nɔ̃m,Frank 2001,zom,Wittmann 1973,zom,Baker 1982,zom,Baker 1982
man (human being),human,ɔmẽ,hombre,ɔm,,,,,,,pesoːa,SilvaTrigo2022,,,kletura,BaxterSilva2004,,,dʒenti omi,Maurer2011,ɐlgẽ,Quint1998,psoɐ,Baptista2014,psoɐ,Swolkien2015,ɐɾgẽ,Tavares2020,,,kliʃtõ,AraujoHagemeijer2013,ŋe,Cosme2014,nĩge,Cosme2014,nĩŋe,Cosme2014,pɛkadoɾ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,,,hende,Quint2000,hende,Schwegler2013,henti,Diccionario2008,henti,Sippola2011,piɻsona,DeCastro2019,mũ,Tobler 1983,,,mun,Valdman et al. 1999,,,mun,Barbotin & Tourenux 2000,mun,Confiant 2007,mun,Frank 2001,dimun,Wittmann 1973,mun,Baker 1982,ɟimun,Baker 1982
many,quant,mũj̃tu,mucho,boku,mɔt,Clements2012,mwit,Clements2012,mujt,Clements2012,mujtu,Clements2012,,,tantu,BaxterSilva2004,mutu,FernandesBaxter2001,tantu,Maurer2011,tʃew,Quint1998,mut,Baptista2014,tʃew,Swolkien2015,tʃew,Tavares2020,tʃew,Baptista2019,maʃimõtʃi,AraujoHagemeijer2013,mɔ̃tʃi,Cosme2014,mõtʃi,Cosme2014,motʃi,Cosme2014,tʃiw,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,ciw,Biagui2012,maʃa,Quint2000,mutʃo,Schwegler2000,mutʃu,Diccionario2008,mutʃu,Sippola2011,mutʃu,DeCastro2019,boku,Tobler 1983,boku,Barthèlemi 2007,boku,Valdman et al. 1999,ãpil,Wittmann 1973,ãpil,Barbotin & Tourenux 2000,ãpil,Confiant 2007,bɔku,Frank 2001,buku,Wittmann 1973,boku,Baker 1982,boku,Baker 1982
meat,animal product,kaɾnɨ,carne,vjɑ̃d,kʰaɾm,Clements2011,kaɾn,Clements2011,kaɾ,Clements2012,kaːɾni,Clements2012,kaɾni,Clements2012,kandri,BaxterSilva2004,kaɾne,FernandesBaxter2001,kaɾni,Maurer2011,kaɾni,Quint1998,keɾ,Baptista2019,kaɾ,Baptista2019,kaɾni,Baptista2019,kaɾni,Baptista2019,kani,Bandeira2017,xaːni,Bandeira2017,ukani,Araujo2012,kani,Bandeira2017,karni,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,karna,Biagui2012,kaɾni,Quint2000,kanne,BickertonEscalante1970,kaɾni,Diccionario2008,kaɾni,Sippola2011,kaɻni,DeCastro2019,laʃe,Tobler 1983,vjãn,Barthèlemi 2007,vjãn,Valdman et al. 1999,vjãn,Wittmann 1973,vjãn,Barbotin & Tourenux 2000,vjãn,Confiant 2007,vjãn,Frank 2001,lavjã,Wittmann 1973,vjã,Baker 1982,lavjã,Baker 1982
moon,environment,luɐ,luna,lyn,,,lu,Clements2011,lu,Clements2012,luma,Callaway1820,luʋə,Clements2012,luŋa,BaxterSilva2004,lua,FernandesBaxter2001,luŋaɾ,Maurer2011,lwɐ,Quint1998,,,,,,,,,nwa,Bandeira2017,nwa,Bandeira2017,unwa,Araujo2012,mbezi,Bandeira2017,luŋa,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,luŋa,Biagui2012,luna,Quint2000,luna,Mercado2026,luna,Diccionario2008,luna,Sippola2011,luna,DeCastro2019,lalin,Tobler 1983,lalin,Barthèlemi 2007,lalin,Valdman et al. 1999,,,lalin,Barbotin & Tourenux 2000,lalin,Confiant 2007,lalin,Frank 2001,la lin,Wittmann 1973,lin,Baker 1982,lalin,Baker 1982
